total_distance,max_workload,nb_changed_office,objective_value
88.30170271420587,2.1596,4.0,88.60968271420586
90.93918879700182,2.062099317163611,4.0,91.24229376285999
93.49724126117874,1.5685,4.0,93.77566626117877
97.20646719777888,1.4754999999999998,3.0,97.4302421977789
102.16801108567617,1.4083999999999999,4.0,102.43843108567617
102.78522271761196,1.2443999999999997,4.0,103.04744271761194
103.41680029089585,1.201699999999998,3.0,103.62688529089586
103.56395980541876,1.1306999999999998,4.0,103.82049480541878
106.59785544391693,1.0866,3.0,106.80218544391693
109.33253982154093,1.0438999999999998,4.0,109.58473482154092
110.97119752528226,1.0068,3.0,111.17153752528228
